price,latitude,longitude,num_bathrooms,num_bedrooms,num_floors,property_type,tenure
200000,53.370613,-1.476349,2,2,0,flat,leasehold
90000,53.37554,-1.456823,1,2,0,flat,leasehold
190000,53.35689,-1.448639,1,3,0,semi-detached house,freehold
200000,53.37128,-1.445508,1,3,0,semi-detached house,freehold
52000,53.366325,-1.423473,1,3,0,terraced house,leasehold
136500,53.355686,-1.430716,1,3,0,semi-detached house,leasehold
175000,53.35229,-1.430273,1,2,0,semi-detached house,freehold
110000,53.357056,-1.427695,1,3,0,semi-detached house,freehold
165000,53.35636,-1.430576,0,3,2,semi-detached house,leasehold
125000,53.3581,-1.423614,1,2,0,semi-detached house,leasehold
115000,53.3549,-1.432717,2,2,0,link-detached house,freehold
260000,53.353718,-1.427969,1,5,0,semi-detached house,freehold
182000,53.35068,-1.433539,3,4,0,town house,leasehold
110000,53.35694,-1.421457,1,2,0,semi-detached house,freehold
145000,53.355694,-1.430189,1,3,0,semi-detached house,leasehold
110000,53.3524,-1.430529,1,2,0,semi-detached house,leasehold
180000,53.35518,-1.423695,1,3,0,semi-detached house,freehold
128000,53.35773,-1.422943,1,3,0,semi-detached house,freehold
125000,53.363747,-1.436491,1,2,0,terraced house,freehold
105000,53.350662,-1.433539,1,2,0,flat,leasehold
190000,53.35247,-1.438564,1,3,0,semi-detached house,freehold
190000,53.35561,-1.426208,1,3,0,semi-detached house,freehold
123000,53.350452,-1.434504,1,2,0,flat,leasehold
135000,53.35217,-1.438462,1,3,0,semi-detached house,leasehold
100000,53.35173,-1.429511,1,3,0,semi-detached house,leasehold
250000,53.353706,-1.427966,2,3,0,semi-detached house,leasehold
130000,53.359528,-1.44391,1,2,0,terraced house,freehold
120000,53.356487,-1.443288,1,3,0,terraced house,freehold
117500,53.358807,-1.42404,1,2,0,semi-detached house,leasehold
120000,53.360123,-1.430784,1,2,0,terraced house,freehold
83644,53.35598,-1.423691,1,2,0,semi-detached house,freehold
122000,53.352257,-1.430483,1,2,0,semi-detached house,freehold
89950,53.3514,-1.441125,1,3,0,terraced house,freehold
58950,53.35617,-1.422078,1,2,0,town house,leasehold
95000,53.360195,-1.435328,1,2,2,end terrace house,freehold
157995,53.352825,-1.430506,2,3,0,town house,freehold
225000,53.339027,-1.234922,2,3,0,detached bungalow,freehold
405000,53.33927,-1.234873,0,3,0,bungalow,freehold
335000,51.455837,-2.594541,1,2,0,flat,leasehold
240000,51.45696,-2.582139,1,1,0,flat,leasehold
560000,51.447342,-2.604543,3,4,0,terraced house,leasehold
350000,51.460487,-2.585155,1,2,0,flat,leasehold
175000,51.46463,-2.538327,1,3,0,end terrace house,freehold
130000,51.461327,-2.535654,1,1,0,flat,leasehold
41000,51.474712,-2.530658,1,4,0,end terrace house,freehold
160000,51.468468,-2.523357,2,2,0,flat,leasehold
242500,51.460354,-2.529784,1,2,0,bungalow,freehold
119000,51.466133,-2.522336,1,2,0,flat,leasehold
117000,51.461838,-2.532694,1,3,0,terraced house,freehold
260000,51.462315,-2.534347,1,2,0,terraced house,freehold
181000,51.470215,-2.518727,1,3,0,end terrace house,freehold
90000,51.465256,-2.524433,1,3,0,semi-detached house,freehold
209950,51.46491,-2.518882,0,4,0,terraced house,freehold
230000,51.46486,-2.5383,1,3,0,end terrace house,freehold
152000,51.466084,-2.537458,1,3,0,end terrace house,freehold
105000,51.46503,-2.533498,1,3,0,semi-detached house,freehold
166000,51.468376,-2.521579,1,2,0,terraced house,freehold
300000,51.46955,-2.53205,1,3,0,semi-detached house,freehold
122500,51.46838,-2.535232,1,2,0,flat,leasehold
125000,51.46341,-2.520707,1,3,0,terraced house,freehold
335000,51.455837,-2.594541,1,2,0,flat,leasehold
560000,51.447342,-2.604543,3,4,0,terraced house,leasehold
357500,51.450798,-2.609883,2,3,0,terraced house,freehold
385000,51.447144,-2.59351,1,1,0,flat,leasehold
255000,51.455837,-2.594541,1,1,0,flat,leasehold
220000,51.455837,-2.594541,1,1,0,flat,leasehold
215000,51.44545,-2.607171,2,4,0,terraced house,freehold
300000,51.50531,-2.622,1,3,0,semi-detached house,freehold
225000,51.49772,-2.602516,2,3,0,semi-detached house,freehold
167500,51.506966,-2.609477,1,2,0,flat,leasehold
475000,51.49969,-2.621225,1,3,0,link-detached house,freehold
280000,51.498276,-2.613936,1,2,0,end terrace house,freehold
259000,51.50759,-2.613502,3,3,0,semi-detached house,freehold
160000,51.509068,-2.611181,1,2,0,end terrace house,freehold
130000,51.507114,-2.608812,1,1,0,flat,leasehold
265000,51.495487,-2.609,1,2,0,terraced house,freehold
280000,51.50206,-2.611091,1,3,0,end terrace house,freehold
320000,51.499153,-2.6202,1,2,0,flat,leasehold
165000,51.504635,-2.617274,1,3,0,flat,leasehold
230000,51.5071,-2.6088,2,2,1,flat,leasehold
315000,51.501816,-2.610197,1,3,0,semi-detached house,freehold
280000,51.50206,-2.611091,1,3,0,link-detached house,freehold
390000,51.50622,-2.611598,3,4,0,town house,freehold
234000,51.50897,-2.610292,1,2,0,semi-detached house,freehold
198000,51.507114,-2.60881,2,2,0,flat,leasehold
240000,51.5071,-2.6088,2,2,1,flat,leasehold
122500,51.504772,-2.616515,1,2,0,flat,leasehold
85000,51.507114,-2.60881,1,2,0,end terrace house,freehold
205000,51.5033,-2.621354,2,5,0,detached house,freehold
160000,51.50671,-2.60998,2,2,0,flat,leasehold
139000,51.502747,-2.660734,2,3,0,semi-detached house,freehold
270000,51.506638,-2.654099,1,3,0,end terrace house,freehold
23000,51.50094,-2.653763,1,3,0,semi-detached house,freehold
176000,51.504543,-2.65268,1,3,0,semi-detached house,freehold
190000,51.497208,-2.659352,1,2,0,semi-detached house,freehold
170000,51.502937,-2.651014,1,2,0,flat,leasehold
124000,51.504906,-2.648414,1,3,0,end terrace house,freehold
250000,51.50072,-2.655528,1,3,0,end terrace house,freehold
130000,51.50238,-2.660822,2,3,0,semi-detached house,freehold
250000,51.50576,-2.652414,1,4,0,terraced house,freehold
122000,51.501904,-2.654326,1,2,0,flat,leasehold
335000,51.455837,-2.594541,1,2,0,flat,leasehold
325000,51.46414,-2.605195,1,2,0,flat,leasehold
363600,51.458054,-2.612978,1,2,0,flat,leasehold
350000,51.45634,-2.611178,2,3,0,flat,leasehold
385000,51.477493,-2.53989,1,3,0,terraced house,freehold
238000,51.48323,-2.544984,2,4,0,detached house,freehold
170000,51.474606,-2.544109,1,2,0,flat,leasehold
200000,51.476654,-2.540599,0,4,0,terraced house,freehold
325000,51.482327,-2.540149,1,3,0,semi-detached house,freehold
135000,51.47539,-2.54577,1,3,0,terraced house,freehold
200000,51.477715,-2.533783,1,2,0,terraced house,freehold
245000,51.47755,-2.539873,2,4,0,terraced house,freehold
174950,51.476,-2.537962,2,2,0,terraced house,freehold
210000,51.475777,-2.5403,1,2,0,flat,leasehold
220500,51.482243,-2.547305,1,4,0,terraced house,freehold
390000,51.5161,-2.537795,2,4,0,detached house,freehold
320000,51.5161,-2.547724,1,3,0,end terrace house,freehold
209500,51.516716,-2.550087,1,3,0,link-detached house,freehold
295000,51.510628,-2.541978,3,3,0,detached house,freehold
200000,51.519855,-2.543417,2,3,0,detached house,freehold
66500,51.517937,-2.549389,1,3,0,semi-detached house,freehold
274995,51.50897,-2.539288,3,3,0,semi-detached house,freehold
335000,51.51574,-2.548815,2,3,0,end terrace house,freehold
349995,51.50805,-2.539242,3,4,0,detached house,freehold
150000,51.516483,-2.55126,1,2,0,end terrace house,freehold
343496,51.50856,-2.539983,1,3,0,semi-detached house,freehold
312000,51.51593,-2.550071,2,4,0,end terrace house,freehold
240000,51.50895,-2.54114,1,3,0,end terrace house,freehold
255000,51.51527,-2.540725,2,4,0,detached house,freehold
340000,51.51267,-2.544037,1,3,0,bungalow,freehold
192000,51.51667,-2.54763,1,3,0,terraced house,freehold
395000,51.509094,-2.538808,2,4,0,detached house,freehold
325000,51.51667,-2.54763,1,3,0,terraced house,freehold
71000,51.517395,-2.549873,1,3,0,end terrace house,freehold
280000,51.519855,-2.543417,1,2,0,terraced house,freehold
144000,51.515816,-2.531682,2,2,0,terraced house,freehold
290000,51.50912,-2.538822,3,3,0,semi-detached house,freehold
615000,51.50972,-2.539234,4,5,0,detached house,freehold
240000,51.513096,-2.543143,1,3,0,terraced house,freehold
425000,51.517937,-2.541924,1,2,0,detached bungalow,freehold
130000,51.519836,-2.539842,1,3,0,end terrace house,freehold
285000,51.51904,-2.538762,2,4,0,detached bungalow,freehold
89995,55.852795,-4.25823,1,2,0,flat,freehold
139500,55.865448,-4.254937,1,1,0,flat,freehold
139500,55.865448,-4.254937,1,1,0,flat,freehold
220000,55.870113,-4.300597,2,3,0,flat,freehold
139500,55.86708,-4.293919,1,1,0,flat,freehold
